               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,             0.02486,             0.01341,          0.00031176,             0.96144,               0.953,             0.97918,             0.71246,            0.021885,           0.0061058,          0.00018632,            0.004796,            0.004796,            0.004796
                  57,            0.024881,            0.013662,            0.000299,             0.97206,             0.96026,             0.98016,             0.73554,            0.020701,           0.0059673,          0.00016933,           0.0046568,           0.0046568,           0.0046568
                  58,            0.024805,            0.013647,          0.00036456,             0.96043,             0.96389,             0.97991,               0.735,            0.020965,           0.0059362,          0.00016353,           0.0045184,           0.0045184,           0.0045184
                  59,            0.024856,            0.013517,          0.00027365,             0.96064,              0.9702,             0.98106,             0.73174,            0.021114,           0.0059894,          0.00015982,           0.0043809,           0.0043809,           0.0043809
                  60,             0.02454,            0.013423,          0.00029434,             0.96197,             0.96275,             0.98011,             0.72809,            0.020558,           0.0059899,          0.00015559,           0.0042445,           0.0042445,           0.0042445
                  61,            0.024361,              0.0134,          0.00029547,             0.96493,             0.96651,             0.98031,             0.74255,            0.021004,           0.0059945,          0.00015634,           0.0041094,           0.0041094,           0.0041094
                  62,            0.024285,            0.013582,          0.00030948,             0.96636,             0.96905,             0.98079,               0.747,            0.020549,           0.0059287,          0.00015816,           0.0039757,           0.0039757,           0.0039757
                  63,            0.023922,            0.013216,          0.00030194,             0.96434,             0.96381,             0.98351,             0.72257,            0.020811,           0.0059242,          0.00014979,           0.0038434,           0.0038434,           0.0038434
                  64,            0.023805,            0.013148,          0.00027434,             0.96932,             0.96097,             0.98153,             0.73736,            0.020571,           0.0059739,             0.00015,           0.0037128,           0.0037128,           0.0037128
                  65,            0.023807,            0.013137,          0.00029439,              0.9673,             0.95637,             0.98136,             0.74273,            0.020186,           0.0059676,          0.00014027,            0.003584,            0.003584,            0.003584
                  66,            0.023255,            0.012745,          0.00027747,             0.97128,             0.95867,              0.9822,              0.7414,            0.020067,           0.0058051,          0.00013489,            0.003457,            0.003457,            0.003457
                  67,             0.02337,            0.013153,          0.00025795,             0.96875,             0.96504,             0.98026,             0.73869,            0.020157,           0.0059545,           0.0001381,           0.0033321,           0.0033321,           0.0033321
                  68,            0.022986,            0.012894,          0.00022739,             0.96582,             0.96271,             0.98352,              0.7466,             0.01968,           0.0058481,          0.00012595,           0.0032093,           0.0032093,           0.0032093
                  69,            0.022978,            0.012956,          0.00025445,             0.96423,             0.96791,             0.98351,             0.75059,            0.019931,           0.0058238,           0.0001272,           0.0030888,           0.0030888,           0.0030888
                  70,            0.022769,            0.012825,          0.00024148,             0.97025,             0.96963,             0.98425,             0.74812,            0.019926,           0.0058025,          0.00012743,           0.0029706,           0.0029706,           0.0029706
                  71,            0.022404,            0.012695,          0.00024589,             0.96505,             0.96619,             0.98372,             0.75394,            0.019374,           0.0057266,           0.0001409,            0.002855,            0.002855,            0.002855
                  72,            0.022849,            0.012534,          0.00031551,             0.96076,             0.97077,              0.9838,             0.75062,            0.019642,           0.0057577,          0.00013058,           0.0027419,           0.0027419,           0.0027419
                  73,             0.02224,            0.013048,          0.00029106,             0.96416,             0.97076,             0.98436,             0.75838,            0.019176,           0.0056961,          0.00012816,           0.0026316,           0.0026316,           0.0026316
                  74,            0.022114,            0.012785,          0.00027236,             0.96665,             0.96791,             0.98283,             0.75278,            0.019389,           0.0056952,          0.00013032,           0.0025241,           0.0025241,           0.0025241
                  75,            0.022157,            0.012552,          0.00022591,             0.96659,             0.96901,             0.98329,             0.75381,            0.019493,           0.0057173,          0.00012396,           0.0024195,           0.0024195,           0.0024195
                  76,            0.022093,            0.012538,          0.00028208,             0.97124,              0.9616,             0.98419,             0.75686,            0.019063,           0.0057092,          0.00011977,            0.002318,            0.002318,            0.002318
                  77,            0.022113,            0.012671,          0.00027386,             0.96847,             0.97133,             0.98396,             0.75859,            0.019046,           0.0057103,           0.0001168,           0.0022196,           0.0022196,           0.0022196
                  78,            0.021789,            0.012436,          0.00022787,             0.97454,             0.96847,             0.98496,             0.75255,             0.01909,           0.0056821,          0.00011238,           0.0021245,           0.0021245,           0.0021245
                  79,            0.021472,            0.012339,          0.00024684,             0.97384,             0.96275,             0.98403,             0.75922,            0.019112,           0.0056046,          0.00012565,           0.0020327,           0.0020327,           0.0020327
                  80,            0.021119,            0.012359,          0.00021852,             0.97497,             0.96325,             0.98422,             0.76485,            0.019088,           0.0056348,          0.00011293,           0.0019443,           0.0019443,           0.0019443
                  81,             0.02157,            0.011973,          0.00028094,             0.97758,             0.96791,              0.9857,             0.76436,            0.018955,           0.0055372,          0.00011564,           0.0018594,           0.0018594,           0.0018594
                  82,            0.021384,            0.012341,          0.00024125,              0.9692,             0.96388,             0.98374,             0.76941,            0.018655,           0.0055723,          0.00010894,           0.0017781,           0.0017781,           0.0017781
                  83,            0.021016,            0.012225,          0.00028807,              0.9725,             0.97019,              0.9856,             0.76498,            0.018483,           0.0055322,          0.00010868,           0.0017005,           0.0017005,           0.0017005
                  84,            0.020723,             0.01213,          0.00019407,             0.97202,             0.96504,             0.98376,             0.76641,            0.018503,           0.0055221,          0.00010601,           0.0016267,           0.0016267,           0.0016267
                  85,            0.020881,            0.012281,          0.00023134,             0.96893,             0.97364,             0.98514,             0.76818,            0.018704,           0.0055489,          0.00010808,           0.0015566,           0.0015566,           0.0015566
                  86,            0.020521,            0.011989,          0.00024607,             0.96249,              0.9702,             0.98374,             0.76352,            0.018768,           0.0055003,          0.00010454,           0.0014905,           0.0014905,           0.0014905
                  87,            0.020578,            0.012158,           0.0002343,             0.97877,             0.96195,              0.9851,             0.77078,            0.018383,           0.0054924,          0.00010252,           0.0014283,           0.0014283,           0.0014283
                  88,            0.020775,            0.012085,          0.00025811,             0.97416,             0.96332,             0.98461,             0.76944,            0.018687,           0.0054982,           0.0001028,           0.0013701,           0.0013701,           0.0013701
                  89,            0.020687,            0.011935,          0.00022847,             0.96624,             0.97578,             0.98665,             0.77851,             0.01829,           0.0054583,           0.0001025,            0.001316,            0.001316,            0.001316
                  90,            0.020632,            0.011981,          0.00022085,             0.96888,             0.97307,             0.98532,             0.76361,             0.01826,           0.0055261,          9.8252e-05,            0.001266,            0.001266,            0.001266
                  91,            0.020454,            0.012175,          0.00021395,             0.97517,             0.96332,              0.9852,             0.76726,            0.018543,           0.0055498,           9.826e-05,           0.0012202,           0.0012202,           0.0012202
                  92,            0.020421,            0.011636,          0.00023109,              0.9727,               0.973,             0.98609,             0.76543,            0.018988,           0.0055043,          9.9766e-05,           0.0011787,           0.0011787,           0.0011787
                  93,            0.020605,            0.011984,          0.00023478,             0.97045,             0.97077,             0.98533,             0.76904,            0.018661,           0.0054977,          9.6441e-05,           0.0011414,           0.0011414,           0.0011414
                  94,            0.020114,            0.011874,          0.00022984,              0.9767,             0.96504,             0.98529,             0.77696,            0.018418,           0.0054562,           9.845e-05,           0.0011084,           0.0011084,           0.0011084
                  95,            0.020328,            0.011831,          0.00022892,             0.97142,             0.96791,             0.98431,             0.77137,            0.018403,           0.0054676,          9.8822e-05,           0.0010797,           0.0010797,           0.0010797
                  96,            0.020145,            0.011805,           0.0001962,              0.9752,              0.9681,             0.98518,             0.77065,            0.018243,           0.0054449,          9.6633e-05,           0.0010554,           0.0010554,           0.0010554
                  97,             0.01986,            0.011643,          0.00026015,             0.97307,             0.97533,             0.98648,             0.76756,            0.018405,           0.0054315,          9.4218e-05,           0.0010355,           0.0010355,           0.0010355
                  98,            0.019969,            0.011745,          0.00024838,             0.97152,              0.9735,             0.98558,             0.77657,            0.018174,           0.0054477,          9.5144e-05,             0.00102,             0.00102,             0.00102
                  99,            0.020253,            0.011889,          0.00019379,              0.9703,             0.97648,             0.98619,             0.77533,            0.018144,           0.0054505,          9.3655e-05,           0.0010089,           0.0010089,           0.0010089
